Public Vehicle Type,Public Vehicle Number,Company Name,Vehicle Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Wheelchair Accessible,Affiliation,License Management,Inspection Type,Scheduled Inspection Date and Time,Result,Current
Livery,7626,O'HARE MIDWAY TAXI AND LIMO SERVICE INC,ACTIVE,LINCOLN,NAVIGATOR,2018,FALSE,,,FIRST_PERIOD,5/4/2023 8:00,PENDING,TRUE
Taxi,5102,LUIS FABARA,ACTIVE,CHEVROLET,MALIBU,2022,FALSE,American-United Cab Assn,Owner-Operator,CHANGE_EQUIPMENT,4/3/2023 10:00,PASSED,FALSE
Taxi,6491,SETARE INC.,ACTIVE,TOYOTA,CAMRY,2012,FALSE,Top Cab Association,Top Cab Corp.,RETEST,5/16/2023 8:00,PENDING,TRUE
Taxi,4839,EYOB & YAFET LLC,ACTIVE,TOYOTA,CAMRY,2019,FALSE,Choice Taxi Association Inc,Owner Manager,SECOND_PERIOD,12/12/2023 9:00,PENDING,TRUE
Taxi,5236,MAS TAXI INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner Manager,SECOND_PERIOD,12/29/2023 13:00,PENDING,TRUE
Taxi,3497,EDWARD Y MOHN,ACTIVE,FORD,C-MAX,2017,FALSE,Checker Taxi Association Co.,Owner-Operator,RETEST,4/3/2023 13:00,PASSED,FALSE
Taxi,5748,A & K CAB COMPANY,ACTIVE,TOYOTA,SCION,2014,FALSE,Independent1,Owner-Operator,RETEST,1/4/2023 13:00,PASSED,FALSE
Taxi,1407,MYKONOS CAB CORP.,FORECLOSURE,HYUNDAI,ELANTRA,2018,FALSE,Top Cab Association,Top Cab Corp.,SECOND_PERIOD,11/8/2023 8:00,PENDING,TRUE
Taxi,4375,SENAIT TRANS INC,ACTIVE,TOYOTA,RAV4,2020,FALSE,City Service Taxi Association,Owner-Operator,SECOND_PERIOD,9/6/2023 8:00,PENDING,TRUE
Taxi,2371,ECO LOGISTICS LTD.,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,12/8/2023 10:00,PENDING,TRUE
Taxi,2578,SANTORINI FIVE CAB CORP.,ACTIVE,TOYOTA,PRIUS,2014,FALSE,NORTHSTAR AFFILIATION,Star North Management LLC,SECOND_PERIOD,9/20/2023 13:00,PENDING,TRUE
Taxi,2627,HUDSON CAB CORP.,ACTIVE,TOYOTA,PRIUS,2015,FALSE,NORTHSTAR AFFILIATION,Star North Management LLC,SECOND_PERIOD,12/27/2023 8:00,PENDING,TRUE
Taxi,4286,ZAKARIA CAB CORP,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Sun Taxi Association Inc,Owner-Operator,SECOND_PERIOD,8/31/2023 9:00,PENDING,TRUE
Taxi,5896,STR CAB CO,ACTIVE,TOYOTA,PRIUS,2015,FALSE,Sun Taxi Association Inc,"Sun Financial Services, Inc.",SECOND_PERIOD,12/18/2023 10:00,PENDING,TRUE
Taxi,2139,CHICAB ONE INC,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",SECOND_PERIOD,11/24/2023 10:00,PENDING,TRUE
Taxi,342,MALAKOFF 16 LLC,ACTIVE,TOYOTA,RAV4,2017,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,1/9/2023 10:00,PASSED,FALSE
Taxi,4771,BABA TAXI INC,ACTIVE,KIA,NIRO,2020,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,8/22/2023 10:00,PENDING,TRUE
Taxi,2992,GATEWAY CAB CO,ACTIVE,TOYOTA,CAMRY,2011,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,5/17/2023 11:00,PENDING,TRUE
Taxi,768,AHMED EXPRESS INC,ACTIVE,TOYOTA,SIENNA,2020,TRUE,Yellow Cab Association,Owner Manager,SECOND_PERIOD,8/15/2023 10:00,PENDING,TRUE
Taxi,5303,TAXI MEDALLION GROUP LLC-SERIES XVI,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,6/6/2023 13:00,PENDING,TRUE
Livery,9578,CHI LIVERY INC,ACTIVE,LINCOLN,NAVIGATOR,2017,FALSE,,,FIRST_PERIOD,4/14/2023 8:00,NO_SHOW,FALSE
Taxi,39,LEO INC,FORECLOSURE,VPG,MV-1,2014,TRUE,TAXI TOWN AFFILIATION LLC,Owner Manager,SECOND_PERIOD,11/27/2023 8:00,PENDING,TRUE
Taxi,2842,"YS TAXI, CORPORATION",ACTIVE,HYUNDAI,TUCSON,2019,FALSE,Sun Taxi Association Inc,"Sun Financial Services, Inc.",RETEST,1/27/2023 11:00,PASSED,FALSE
Taxi,147,DOTAMERICK INC,FORECLOSURE,TOYOTA,CAMRY,2015,FALSE,Yellow Cab Association,Owner-Operator,SECOND_PERIOD,7/13/2023 10:00,PENDING,TRUE
Taxi,6254,"GULELE, INC",ACTIVE,TOYOTA,RAV4,2021,FALSE,City Service Taxi Association,Owner-Operator,RETEST,1/26/2023 13:00,PASSED,FALSE
Taxi,3082,CHARM CAB CORP.,ACTIVE,TOYOTA,PRIUS,2016,FALSE,City Service Taxi Association,Owner-Operator,SECOND_PERIOD,10/5/2023 9:00,PENDING,TRUE
Livery,9150,FLAVIUS BRICI,ACTIVE,LINCOLN,NAVIGATOR,2013,FALSE,,,CHANGE_EQUIPMENT,5/4/2023 8:00,PENDING,TRUE
Taxi,209,RUN LLC,ACTIVE,TOYOTA,CAMRY,2018,FALSE,Globe Taxi Association Inc,Owner-Operator,SECOND_PERIOD,12/4/2023 10:00,PENDING,TRUE
Taxi,4742,JUICY J INC,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Globe Taxi Association Inc,Owner Manager,SECOND_PERIOD,9/25/2023 11:00,PENDING,TRUE
Taxi,6698,SAAD TAXI LLC,ACTIVE,MITSUBISHI,MIRAGE G4 ES,2021,FALSE,Independent1,Owner-Operator,CHANGE_EQUIPMENT,1/26/2023 11:00,FAILED,FALSE
Taxi,6178,PARIKH ENTERPRISES IV INC,SURRENDER,TOYOTA,PRIUS,2015,FALSE,Flash Cab Co,,SECOND_PERIOD,10/19/2023 11:00,PENDING,TRUE
Taxi,78,ALBIE'S CORP.,ACTIVE,TOYOTA,SIENNA,2019,TRUE,Sun Taxi Association Inc,Owner Manager,SECOND_PERIOD,10/2/2023 9:00,PENDING,TRUE
Taxi,2847,SHASHEMENE CORP,SURRENDER,TOYOTA,RAV4,2022,FALSE,City Service Taxi Association,Owner-Operator,CHANGE_EQUIPMENT,4/18/2023 10:00,PENDING,TRUE
Taxi,2698,TAXI MEDALLION GROUP LLC SERIES III,ACTIVE,TOYOTA,PRIUS,2015,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,4/14/2023 8:00,PASSED,FALSE
Taxi,1001,NECT 40 LLC,FORECLOSURE,FORD,FUSION,2014,FALSE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",SECOND_PERIOD,8/21/2023 13:00,PENDING,TRUE
Taxi,1180,MAB CAB CO,ACTIVE,TOYOTA,PRIUS,2011,FALSE,Globe Taxi Association Inc,Owner-Operator,FIRST_PERIOD,4/24/2023 9:00,PENDING,TRUE
Taxi,5792,TAXI MEDALLION GROUP LLC SERIES IX,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,2/1/2023 9:00,PASSED,FALSE
Taxi,3660,SURINA CAB CO,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,4/24/2023 13:00,PENDING,TRUE
Taxi,3570,BLACK PIKE INC,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Globe Taxi Association Inc,Owner Manager,FIRST_PERIOD,5/2/2023 8:00,PENDING,TRUE
Taxi,5090,PARK WEST EXPRESS INC,ACTIVE,TOYOTA,SIENNA,2020,TRUE,Flash Cab Co,Owner Manager,FIRST_PERIOD,4/20/2023 8:00,PENDING,TRUE
Taxi,4370,AJWA CAB CO,ACTIVE,TOYOTA,CAMRY,2015,FALSE,City Service Taxi Association,Owner-Operator,FIRST_PERIOD,1/10/2023 11:00,PASSED,FALSE
Taxi,3779,"ZINABOU TRANSPORT, INC.",ACTIVE,TOYOTA,PRIUS,2012,FALSE,Sun Taxi Association Inc,Owner-Operator,SECOND_PERIOD,12/13/2023 10:00,PENDING,TRUE
Taxi,3390,"IDSAS TRANS, INC.",ACTIVE,TOYOTA,CAMRY,2014,FALSE,Sun Taxi Association Inc,Owner-Operator,FIRST_PERIOD,6/9/2023 9:00,PENDING,TRUE
Taxi,3059,PEACE INC.,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Choice Taxi Association Inc,Choice Taxi Association,RETEST,4/21/2023 13:00,PENDING,TRUE
Taxi,6362,NASREEN CAB CO,ACTIVE,TOYOTA,RAV4,2017,FALSE,City Service Taxi Association,Owner-Operator,SECOND_PERIOD,9/8/2023 11:00,PENDING,TRUE
Taxi,2721,WIL-MAR CAB CO,ACTIVE,TOYOTA,COROLLA,2015,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,FIRST_PERIOD,5/1/2023 9:00,PENDING,TRUE
Taxi,630,EBOSEREMENOJ LLC,ACTIVE,TOYOTA,RAV4,2017,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,11/14/2023 11:00,PENDING,TRUE
Taxi,5426,AKUBA TRANSPORT INC,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Independent2,Owner-Operator,FIRST_PERIOD,5/9/2023 8:00,PENDING,TRUE
Taxi,2267,BELLEPLAINE CAB CO,ACTIVE,TOYOTA,CAMRY,2013,FALSE,City Service Taxi Association,Owner-Operator,SECOND_PERIOD,8/10/2023 9:00,PENDING,TRUE
Taxi,1077,YAMEN22 INC,ACTIVE,TOYOTA,RAV4,2018,FALSE,Sun Taxi Association Inc,Owner-Operator,SECOND_PERIOD,9/21/2023 11:00,PENDING,TRUE
Taxi,1160,AL-MEDINA CHICAGO INC,ACTIVE,TOYOTA,PRIUS,2015,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,4/21/2023 8:00,PENDING,TRUE
Taxi,3411,ROSAR CORPORATION,ACTIVE,TOYOTA,RAV4,2019,FALSE,City Service Taxi Association,Owner-Operator,SECOND_PERIOD,9/12/2023 11:00,PENDING,TRUE
Taxi,5472,AIRPORT EXPRESS CAB COMPANY,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Sun Taxi Association Inc,Owner-Operator,SECOND_PERIOD,8/11/2023 8:00,PENDING,TRUE
Taxi,2793,IQQA TAXI INC,ACTIVE,FORD,ESCAPE,2012,FALSE,City Service Taxi Association,Owner-Operator,SECOND_PERIOD,7/21/2023 10:00,PENDING,TRUE
Livery,8812,HMS LIMO DRIVE INC,ACTIVE,LINCOLN,NAVIGATOR L,2018,FALSE,,,FIRST_PERIOD,5/30/2023 8:00,PENDING,TRUE
Livery,8193,TRIPLE O LIMO INC.,VIOLATION,CHEVROLET,SUBURBAN,2017,FALSE,,,FIRST_PERIOD,5/10/2023 8:00,PENDING,TRUE
Taxi,3327,"ELIANA TRANS, INC",ACTIVE,TOYOTA,CAMRY,2014,FALSE,City Service Taxi Association,Owner-Operator,RETEST,4/20/2023 11:00,PENDING,TRUE
Taxi,4677,"NECT 1, INC.",FORECLOSURE,TIPKE,PRIUS,2014,FALSE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",SECOND_PERIOD,7/20/2023 11:00,PENDING,TRUE
Taxi,2286,SOPHIA CORP,ACTIVE,TOYOTA,PRIUS,2021,FALSE,INDEPENDENT4,Owner Manager,FIRST_PERIOD,3/20/2023 11:00,PASSED,FALSE
Taxi,1443,SWEET THREE INC,SURRENDER,TOYOTA,CAMRY,2013,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,11/27/2023 10:00,PENDING,TRUE
Taxi,4443,IMAGIN CAB CORP,ACTIVE,TOYOTA,CAMRY,2015,FALSE,Flash Cab Co,Owner Manager,FIRST_PERIOD,5/15/2023 9:00,PENDING,TRUE
Taxi,850,RAJ TAXI INC,ACTIVE,TOYOTA,PRIUS,2019,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,1/27/2023 9:00,PASSED,FALSE
Taxi,6796,SDJ TAXI INC,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,11/21/2023 8:00,PENDING,TRUE
Taxi,1473,PAPA AUTO LLC,ACTIVE,TOYOTA,SIENNA,2017,FALSE,Yellow Cab Association,Owner-Operator,RETEST,2/1/2023 8:00,PASSED,FALSE
Taxi,6599,TAXI MEDALLION GROUP LLC SERIES III,ACTIVE,TOYOTA,PRIUS,2015,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,4/28/2023 9:00,PENDING,TRUE
Taxi,861,NECT 34 LLC,ACTIVE,FORD,ESCAPE,2012,FALSE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",FIRST_PERIOD,6/29/2023 13:00,PENDING,TRUE
Taxi,4285,CYPRUS CAB CO,ACTIVE,NISSAN,ALTIMA,2011,FALSE,5 Star Taxi Association Inc,Owner-Operator,SECOND_PERIOD,10/20/2023 10:00,PENDING,TRUE
Taxi,6334,SAMTEX INC.,ACTIVE,TOYOTA,SIENNA,2019,TRUE,Independent1,Owner Manager,SECOND_PERIOD,8/28/2023 10:00,PENDING,TRUE
Livery,7572,CURTIS P. ANDERSON,ACTIVE,CADILLAC,ESCALADE ESV,2018,FALSE,,,FIRST_PERIOD,4/3/2023 8:00,NO_SHOW,FALSE
Taxi,6942,SKI CORP,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner Manager,SECOND_PERIOD,12/12/2023 11:00,PENDING,TRUE
Taxi,1650,SUPREME ZAID INC,ACTIVE,FORD,FUSION,2018,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,10/31/2023 9:00,PENDING,TRUE
Taxi,5088,ADAMS TAXI LLC,ACTIVE,FORD,FUSION,2018,FALSE,NORTHSTAR AFFILIATION,Star North Management LLC,SECOND_PERIOD,12/26/2023 9:00,PENDING,TRUE
Taxi,1197,INARA ENTERPRISE INC,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Globe Taxi Association Inc,Owner-Operator,SECOND_PERIOD,8/29/2023 9:00,PENDING,TRUE
Taxi,5199,"CAROL OF ILLINOIS ENTERPRISES, INC.",FORECLOSURE,TOYOTA,SIENNA,2016,TRUE,DIS-AFFILIATED,Owner Manager,SECOND_PERIOD,12/28/2023 13:00,PENDING,TRUE
Taxi,3570,BLACK PIKE INC,ACTIVE,TOYOTA,PRIUS,2013,FALSE,Globe Taxi Association Inc,Owner Manager,SECOND_PERIOD,10/23/2023 8:00,PENDING,TRUE
Taxi,5717,JORO CAB COMPANY INCORPORATED,ACTIVE,TOYOTA,RAV4,2017,FALSE,Choice Taxi Association Inc,Owner-Operator,FIRST_PERIOD,5/22/2023 8:00,PENDING,TRUE
Taxi,6290,TRUST LIMO INC,ACTIVE,TOYOTA,SIENNA,2017,FALSE,Flash Cab Co,Owner Manager,SECOND_PERIOD,12/7/2023 9:00,PENDING,TRUE
Livery,9586,MAREK J MAJCHROWSKI,ACTIVE,CHEVROLET,SUBURBAN,2018,FALSE,,,FIRST_PERIOD,2/1/2023 8:00,PASSED,FALSE
Taxi,1119,FATOU INC.,ACTIVE,DODGE,CARAVAN,2017,TRUE,Independent1,Owner-Operator,SECOND_PERIOD,11/21/2023 13:00,PENDING,TRUE
Taxi,2067,HADEEL TRANS INC,ACTIVE,DODGE,GRAND CARAVAN,2018,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,11/6/2023 9:00,PENDING,TRUE
Taxi,1601,PUNJAB CORP,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,6/9/2023 10:00,PENDING,TRUE
Taxi,118,GODFREY S AWIR,ACTIVE,TOYOTA,SIENNA,2022,TRUE,Independent1,Owner-Operator,SECOND_PERIOD,10/24/2023 9:00,PENDING,TRUE
Taxi,6763,TAXI MEDALLION GROUP LLC-SERIES 38,SURRENDER,TOYOTA,CAMRY,2017,FALSE,Yellow Cab Association,Owner Manager,SECOND_PERIOD,10/4/2023 8:00,PENDING,TRUE
Taxi,3877,LUXOR INC,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,SECOND_PERIOD,11/16/2023 13:00,PENDING,TRUE
Taxi,460,DALYARE INC,ACTIVE,TOYOTA,PRIUS,2015,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,8/14/2023 10:00,PENDING,TRUE
Taxi,6628,"BOLAKO, INC",SURRENDER,TOYOTA,CAMRY,2012,FALSE,City Service Taxi Association,Owner Manager,SECOND_PERIOD,10/23/2023 8:00,PENDING,TRUE
Taxi,1462,EMMA TAXI INC.,ACTIVE,TOYOTA,RAV4,2016,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,8/15/2023 10:00,PENDING,TRUE
Taxi,4171,TAXI MEDALLION GROUP LLC SERIESXXVI,ACTIVE,TOYOTA,CAMRY,2017,FALSE,Yellow Cab Association,Owner Manager,FIRST_PERIOD,2/3/2023 9:00,PASSED,FALSE
Taxi,4965,BENGAL CAB CORPORATION,ACTIVE,TOYOTA,CAMRY,2015,FALSE,Globe Taxi Association Inc,Owner-Operator,FIRST_PERIOD,2/3/2023 9:00,FAILED,FALSE
Taxi,4329,OHANS CORPORATION,ACTIVE,TOYOTA,RAV4,2015,FALSE,City Service Taxi Association,Owner-Operator,RETEST,2/3/2023 11:00,PASSED,FALSE
Taxi,697,NECT 32 LLC,ACTIVE,TOYOTA,PRIUS,2014,FALSE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",FIRST_PERIOD,2/3/2023 10:00,FAILED,FALSE
Livery,7722,"BRIZ LUX SERVICES, INC.",ACTIVE,CADILLAC,XTS,2016,FALSE,,,FIRST_PERIOD,2/3/2023 8:00,PASSED,FALSE
Taxi,6677,NATHAN CAB CO,ACTIVE,TOYOTA,PRIUS,2012,FALSE,City Service Taxi Association,Owner-Operator,FIRST_PERIOD,2/3/2023 8:00,PASSED,FALSE
Ambulance,721365,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ACTIVE,FORD,E350,2012,FALSE,,,RETEST,2/3/2023 8:00,PASSED,FALSE
Taxi,1290,DANIEL T. EGUALE,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,2/3/2023 8:00,FAILED,FALSE
Taxi,1040,ROSYROSIEL CORPORATION,ACTIVE,NISSAN,ROGUE,2019,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,2/3/2023 11:00,FAILED,FALSE
Taxi,2175,N.S.O CAB INC,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Flash Cab Co,Owner Manager,RETEST,2/3/2023 11:00,PASSED,FALSE
Taxi,5084,CARE CAB COMPANY,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Sun Taxi Association Inc,"Sun Financial Services, Inc.",FIRST_PERIOD,2/3/2023 9:00,PASSED,FALSE
Taxi,973,TWO STAR TAXI CAB INC,ACTIVE,FORD,ESCAPE,2012,FALSE,Flash Cab Co,Owner-Operator,CHANGE_EQUIPMENT,2/3/2023 13:00,FAILED,FALSE
Taxi,3434,LUAN CAB CO,ACTIVE,TOYOTA,CAMRY,2016,FALSE,City Service Taxi Association,Owner Manager,FIRST_PERIOD,2/3/2023 10:00,PASSED,FALSE
Taxi,1683,U.S.M.A INC.,ACTIVE,TOYOTA,CAMRY,2018,FALSE,Flash Cab Co,Owner Manager,FIRST_PERIOD,4/11/2023 13:00,FAILED,FALSE
Taxi,1060,HORIZON CAB CO.,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,4/11/2023 9:00,PASSED,FALSE
Taxi,5889,HAZARA INC,ACTIVE,FORD,ESCAPE,2012,FALSE,Yellow Cab Association,Owner-Operator,FIRST_PERIOD,4/14/2023 10:00,PASSED,FALSE
Taxi,5879,BANTVA INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,4/24/2023 9:00,PENDING,TRUE
Taxi,2046,AMELIE CAB CORP,ACTIVE,TOYOTA,SIENNA,2016,TRUE,City Service Taxi Association,Owner-Operator,SECOND_PERIOD,10/2/2023 8:00,PENDING,TRUE
Livery,7691,MAFOLAYAN LLC,ACTIVE,CHEVROLET,SUBURBAN,2018,FALSE,,,FIRST_PERIOD,6/21/2023 8:00,PENDING,TRUE
Taxi,2698,TAXI MEDALLION GROUP LLC SERIES III,ACTIVE,TOYOTA,PRIUS,2015,FALSE,Yellow Cab Association,Owner Manager,ROOFTOP_ADVERTISING,4/14/2023 8:00,PASSED,FALSE
Taxi,5501,LULYA TRANS INC,ACTIVE,TOYOTA,PRIUS,2014,FALSE,City Service Taxi Association,Owner Manager,SECOND_PERIOD,12/21/2023 13:00,PENDING,TRUE
Taxi,5318,RED PRINT TAXI INC,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner-Operator,FIRST_PERIOD,4/3/2023 11:00,PASSED,FALSE
Taxi,3534,JAY BHACHER CORP,ACTIVE,TOYOTA,PRIUS,2014,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,7/5/2023 10:00,PENDING,TRUE
Taxi,2496,REX 5 INC.,FORECLOSURE,FORD,ESCAPE,2011,FALSE,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",SECOND_PERIOD,9/21/2023 8:00,PENDING,TRUE
Taxi,5500,HIGH RIDER 1 INC,ACTIVE,TOYOTA,COROLLA,2016,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,7/11/2023 8:00,PENDING,TRUE
Taxi,6513,"TAXI MEDALLION GROUP, LLC-SERIES 34",ACTIVE,TOYOTA,CAMRY,2017,FALSE,Yellow Cab Association,Owner Manager,SECOND_PERIOD,8/18/2023 13:00,PENDING,TRUE
Taxi,5503,SELAM CORP,ACTIVE,TOYOTA,CAMRY,2021,FALSE,Independent1,Owner Manager,RETEST,4/14/2023 10:00,PASSED,FALSE
Taxi,5413,MELIJAH INC.,ACTIVE,TOYOTA,CAMRY,2015,FALSE,Globe Taxi Association Inc,Owner Manager,SECOND_PERIOD,10/24/2023 11:00,PENDING,TRUE
Taxi,4776,GEMINI TAXI CORP,ACTIVE,TOYOTA,COROLLA,2018,FALSE,Top Cab Association,Top Cab Corp.,FIRST_PERIOD,4/14/2023 8:00,NO_SHOW,FALSE
Taxi,1738,KIRUBEL CORP,ACTIVE,TOYOTA,PRIUS,2016,FALSE,Independent1,Owner-Operator,SECOND_PERIOD,8/24/2023 10:00,PENDING,TRUE
Taxi,1301,ZAIDZUNNAIRA CORPORATION,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Owner-Operator,CHANGE_EQUIPMENT,4/28/2023 11:00,PENDING,TRUE
Taxi,3946,MERCI-CO INC,ACTIVE,FORD,FUSION,2014,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,5/9/2023 8:00,PENDING,TRUE
Taxi,5717,JORO CAB COMPANY INCORPORATED,ACTIVE,TOYOTA,RAV4,2017,FALSE,Choice Taxi Association Inc,Owner-Operator,SECOND_PERIOD,11/13/2023 11:00,PENDING,TRUE
Taxi,4572,ROOBLE CORP,ACTIVE,TOYOTA,CAMRY,2015,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,11/9/2023 10:00,PENDING,TRUE
Taxi,587,FABRICE CAB INC,ACTIVE,TOYOTA,CAMRY,2018,FALSE,Independent1,Owner-Operator,RETEST,2/1/2023 13:00,PASSED,FALSE
Livery,7067,MARIIA GEVALO,ACTIVE,VOLVO,XC90,2017,FALSE,,,FIRST_PERIOD,5/24/2023 9:00,PENDING,TRUE
Taxi,4493,EL-SAMP INC,ACTIVE,TOYOTA,SIENNA,2015,FALSE,Yellow Cab Association,Owner-Operator,SECOND_PERIOD,12/28/2023 11:00,PENDING,TRUE
Livery,7528,MUNIR LIMO SERVICE INC,ACTIVE,GMC,YUKON,2018,FALSE,,,FIRST_PERIOD,5/5/2023 8:00,PENDING,TRUE
Taxi,112,MCCAB XIV CORP.,ACTIVE,TOYOTA,SIENNA,2018,TRUE,Sun Taxi Association Inc,"Sun Financial Services, Inc.",SECOND_PERIOD,9/18/2023 9:00,PENDING,TRUE
Taxi,4012,TRAVEL SURF INC,ACTIVE,TOYOTA,CAMRY,2018,FALSE,Independent1,Owner-Operator,FIRST_PERIOD,1/23/2023 11:00,PASSED,FALSE
Taxi,5128,YASEEN CAB CO,ACTIVE,TOYOTA,CAMRY,2014,FALSE,Flash Cab Co,Chicago Taxicab Management Inc.,RETEST,4/14/2023 10:00,PASSED,FALSE
Taxi,1274,ALFRED.B INC,ACTIVE,TOYOTA,RAV4,2018,FALSE,Yellow Cab Association,Owner-Operator,FIRST_PERIOD,6/6/2023 9:00,PENDING,TRUE
Ambulance,721537,"SUPERIOR AIR-GROUND AMBULANCE SERVICE, INC.",ACTIVE,MERCEDES,SPRINTER,2020,FALSE,,,FIRST_PERIOD,5/29/2023 8:00,PENDING,TRUE
Taxi,1072,ZAINA CAB CORPORATION,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Sun Taxi Association Inc,Owner-Operator,SECOND_PERIOD,10/16/2023 9:00,PENDING,TRUE
Taxi,860,ZEUS CAB CORP.,FORECLOSURE,HYUNDAI,ELANTRA,2018,FALSE,Top Cab Association,Top Cab Corp.,SECOND_PERIOD,10/18/2023 8:00,PENDING,TRUE
Taxi,1035,NADJIB TRANS INC,ACTIVE,TOYOTA,CAMRY,2015,FALSE,Sun Taxi Association Inc,Owner Manager,SECOND_PERIOD,9/27/2023 8:00,PENDING,TRUE
Taxi,3037,SMK TAXI CORP,ACTIVE,TOYOTA,CAMRY,2013,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,8/21/2023 10:00,PENDING,TRUE
Taxi,5400,PAK-PUNJAB CAB CORP,SURRENDER,TOYOTA,CAMRY,2015,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,8/18/2023 10:00,PENDING,TRUE
Taxi,6241,ATHINA CAB CORP.,FORECLOSURE,TOYOTA,COROLLA,2019,FALSE,CHICAGO CITY TAXI ASSOC,Top Cab Corp.,FIRST_PERIOD,4/25/2023 8:00,PENDING,TRUE
Taxi,1843,MYHATTONE SYSTEM INC,ACTIVE,TOYOTA,RAV4,2018,FALSE,Flash Cab Co,Owner-Operator,RETEST,4/14/2023 10:00,PASSED,FALSE
Taxi,1739,ISROLIZ CORPORATION,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Top Cab Association,Owner Manager,RETEST,4/14/2023 13:00,PASSED,FALSE
Taxi,428,MCCAB VII CORP.,ACTIVE,TOYOTA,CAMRY,2016,FALSE,Sun Taxi Association Inc,"Sun Financial Services, Inc.",FIRST_PERIOD,1/31/2023 11:00,PASSED,FALSE
Taxi,2489,SHIRIN CAB CO.,FORECLOSURE,TOYOTA,CAMRY,2013,FALSE,Flash Cab Co,Owner-Operator,SECOND_PERIOD,9/26/2023 13:00,PENDING,TRUE
Taxi,4998,LEWEESI INC,ACTIVE,TOYOTA,RAV4,2019,FALSE,Yellow Cab Association,Owner Manager,SECOND_PERIOD,10/12/2023 9:00,PENDING,TRUE
